상권_코드,상권_코드_명,상권유형,residual_latest,pred_latest,y_log_latest,매출_latest,찻집수_latest,residual_avg,residual_std,n_quarters,supply_shortage,residual_consistent,blueocean_candidate
3130306,강남언주로,전통시장,1.2013577159044964,18.021371325433364,19.22272904133786,223010416,0,1.127840524440314,0.11999718185908748,9,1.0,False,False
3110886,관악해태어린이공원,골목상권,1.203614860899581,18.01478300735091,19.21839786825049,222046608,0,1.0784778660324186,0.25288050916501426,9,1.0,False,False
3110465,연신내역 7번,골목상권,1.2107755816737367,17.967711548880928,19.178487130554664,213359080,0,1.3447612143829868,0.10783929499468611,9,1.0,False,False
3110957,언북중학교,골목상권,1.2117273218828153,18.317686706894666,19.52941402877748,303051715,0,1.2192286090513005,0.10444062816961526,9,1.0,False,False
3110148,어린이대공원역 3번,골목상권,1.2129515363673669,17.648129686793336,18.861081223160703,155332916,0,0.9566952220066918,0.20928692503923332,9,1.0,False,False
3120022,북창동(시청역_6번),발달상권,1.2171003354950827,20.370590718408884,21.587691053903967,2373641364,1,1.009490350112016,0.10617790515454528,9,0.5,False,False
3130035,방산종합시장(방산시장),전통시장,1.2245535429251042,18.396214994461847,19.62076853738695,332040841,0,1.2690648904968203,0.05805540920888758,9,1.0,False,False
3110079,후암동주민센터,골목상권,1.2258932762604147,18.708230993905893,19.934124270166308,454234557,1,1.3874991183131786,0.11858679800500892,9,0.5,False,False
3130002,세종마을음식문화거리(금천교시장),전통시장,1.2275410596396519,18.538707798932528,19.76624885857218,384036768,1,0.6819146095830608,0.3140291070237182,9,0.5,False,False
3110419,수락산디자인거리,골목상권,1.2276288345058362,18.40047990870561,19.628108743211445,334487056,2,1.2313813629837829,0.07688185300811702,9,0.3333333333333333,False,False
3130261,성대전통시장(성대시장),전통시장,1.2289745131461238,18.310347957648307,19.53932247079443,306069411,0,1.2363980833778223,0.046482102208765246,9,1.0,False,False
3110331,돌곶이역 8번,골목상권,1.244779999938931,17.851315332375414,19.096095332314345,196484740,0,1.3800434883374524,0.21238016857905267,9,1.0,False,False
